timestamp,asset,price
2026-04-18 17:34:34.289642,bitcoin,75753
2026-04-18 17:34:34.313243,ethereum,2349.56
2026-04-18 17:34:34.315946,tether,1.0
2026-04-18 17:34:34.320929,usd-coin,0.999898
2026-04-18 17:34:34.322548,binancecoin,630.73
2026-04-18 17:34:34.326359,solana,86.15
2026-04-18 17:34:34.329044,ripple,1.43
2026-04-18 17:34:34.333120,cardano,0.248748
2026-04-18 17:34:34.337586,dogecoin,0.094759
2026-04-18 17:34:34.340102,tron,0.328923
2026-04-18 17:34:34.345054,polkadot,1.28
2026-04-18 17:34:34.347534,litecoin,55.42
2026-04-18 17:34:34.349938,bitcoin-cash,444.2
2026-04-18 17:34:34.352794,chainlink,9.29
2026-04-18 17:34:34.356788,stellar,0.169259
2026-04-18 17:34:34.359223,uniswap,3.36
2026-04-18 17:34:34.361615,avalanche-2,9.38
2026-04-18 17:34:34.364038,cosmos,1.78
2026-04-18 17:34:34.366392,monero,347.25
2026-04-18 17:34:34.370385,ethereum-classic,8.48
2026-04-18 17:34:34.371409,filecoin,0.946906
2026-04-18 17:34:34.375488,aptos,0.940901
2026-04-18 17:34:34.378006,arbitrum,0.126752
2026-04-18 17:34:34.380382,optimism,0.126391
2026-04-18 17:34:34.382729,near,1.36
2026-04-18 17:34:34.383727,internet-computer,2.49
2026-04-18 17:34:34.389065,vechain,0.00708635
2026-04-18 17:34:34.391651,hedera-hashgraph,0.088811
2026-04-18 17:34:34.394016,algorand,0.107826
2026-04-18 17:34:34.396368,the-sandbox,0.080299
2026-04-18 17:34:34.398719,decentraland,0.092016
2026-04-18 17:34:34.401165,theta-token,0.221222
2026-04-18 17:34:34.403667,axie-infinity,1.13
2026-04-18 17:34:34.406762,elrond-erd-2,4.2
2026-04-18 17:34:34.410186,tezos,0.365269
2026-04-18 17:34:34.412644,flow,0.03567133
2026-04-18 17:34:34.413644,eos,0.08191
2026-04-18 17:34:34.419263,neo,2.89
2026-04-18 17:34:34.422264,kava,0.056377
2026-04-18 17:34:34.427848,dash,34.53
2026-04-18 17:34:34.432839,zcash,321.96
2026-04-18 17:34:34.438147,iota,0.05716
2026-04-18 17:34:34.445224,maker,1789.11
2026-04-18 17:34:34.453069,aave,103.9
2026-04-18 17:34:34.457757,compound-governance-token,26.69
2026-04-18 17:34:34.463132,sushi,0.212674
2026-04-18 17:34:34.468943,yearn-finance,2685.69
2026-04-18 17:34:34.472536,curve-dao-token,0.231759
2026-04-18 17:35:36.025996,bitcoin,75751
2026-04-18 17:35:36.031422,ethereum,2349.62
2026-04-18 17:35:36.035887,tether,1.0
2026-04-18 17:35:36.041152,usd-coin,0.999855
2026-04-18 17:35:36.048149,binancecoin,630.84
2026-04-18 17:35:36.049095,solana,86.16
2026-04-18 17:35:36.049095,ripple,1.43
2026-04-18 17:35:36.058773,cardano,0.248806
2026-04-18 17:35:36.063940,dogecoin,0.094747
2026-04-18 17:35:36.067276,tron,0.328936
2026-04-18 17:35:36.072092,polkadot,1.28
2026-04-18 17:35:36.073688,litecoin,55.43
2026-04-18 17:35:36.081125,bitcoin-cash,444.17
2026-04-18 17:35:36.083543,chainlink,9.3
2026-04-18 17:35:36.085076,stellar,0.169261
2026-04-18 17:35:36.090238,uniswap,3.36
2026-04-18 17:35:36.095583,avalanche-2,9.38
2026-04-18 17:35:36.100001,cosmos,1.78
2026-04-18 17:35:36.103785,monero,347.25
2026-04-18 17:35:36.106776,ethereum-classic,8.48
2026-04-18 17:35:36.110103,filecoin,0.947139
2026-04-18 17:35:36.117357,aptos,0.941002
2026-04-18 17:35:36.124341,arbitrum,0.126738
2026-04-18 17:35:36.130824,optimism,0.12644
2026-04-18 17:35:36.138303,near,1.36
2026-04-18 17:35:36.144292,internet-computer,2.49
2026-04-18 17:35:36.150540,vechain,0.00709125
2026-04-18 17:35:36.153103,hedera-hashgraph,0.088834
2026-04-18 17:35:36.157509,algorand,0.107839
2026-04-18 17:35:36.167928,the-sandbox,0.080316
2026-04-18 17:35:36.175051,decentraland,0.09203
2026-04-18 17:35:36.179372,theta-token,0.221353
2026-04-18 17:35:36.183027,axie-infinity,1.13
2026-04-18 17:35:36.190043,elrond-erd-2,4.21
2026-04-18 17:35:36.200745,tezos,0.365218
2026-04-18 17:35:36.204919,flow,0.03567523
2026-04-18 17:35:36.208415,eos,0.08191
2026-04-18 17:35:36.213502,neo,2.89
2026-04-18 17:35:36.222315,kava,0.056394
2026-04-18 17:35:36.229091,dash,34.55
2026-04-18 17:35:36.232835,zcash,322.17
2026-04-18 17:35:36.238815,iota,0.05716
2026-04-18 17:35:36.241415,maker,1789.13
2026-04-18 17:35:36.254134,aave,103.94
2026-04-18 17:35:36.259761,compound-governance-token,26.72
2026-04-18 17:35:36.265536,sushi,0.212715
2026-04-18 17:35:36.276085,yearn-finance,2685.98
2026-04-18 17:35:36.283644,curve-dao-token,0.231767
2026-04-18 17:36:37.796239,bitcoin,75767
2026-04-18 17:36:37.802872,ethereum,2349.59
2026-04-18 17:36:37.826520,tether,1.0
2026-04-18 17:36:37.845040,usd-coin,0.999843
2026-04-18 17:36:37.852667,binancecoin,630.95
2026-04-18 17:36:37.864746,solana,86.17
2026-04-18 17:36:37.875378,ripple,1.43
2026-04-18 17:36:37.880427,cardano,0.248872
2026-04-18 17:36:37.884228,dogecoin,0.094807
2026-04-18 17:36:37.895838,tron,0.328944
2026-04-18 17:36:37.908639,polkadot,1.28
